QueryText,KccAns
INFORMATION ABOUT TIME OF SOWING OF RICE CROP?,AFTER 30TH MAY -AUG
ASKING ABOUT VERITIES OF CUCUMBER,PUNJAB NAVEEN (SEED RATE-1KG/ACRE)
INFORMATION REGARDING IMPROVED VARIETIES OF RICE?,"IMPROVED VARIETIES OF RICE PR 121,PR 122,PR 111,PR 115,PR 118,PR 116."
information regarding dose of urea in chilli?,dose of urea in chilli 55 kg/acre.
IMPROVED VAR. OF RICE?,"IMPROVED VAR. OF RICE PR 121,PR122"
INFORMATION REGARDING POLTRY FARMING?,I TOLD FARMER CONTECT 0161-2401960.
#:  INFORMATION REGARDING CONTROL OF FRUIT AND SHOOT BORER IN BRINJAL ?,A:   SPRAY MALATHION 50EC @ 250ML IN 100LITRES OF WATER/ACRE.
INFORMATION REGARDING IMPROVED VARIETIES OF RICE CROP?,"I TOLD THE KISAN IMPROVED VARIETIES OF RICE CROP:-PR-121,PR-122,PR-118,PR-115."
INFORMATION RREGARDING CONTROL OF FLOWER DROPING IN POMEGRANATE?,SPRAY PLANOFIX @ 1 ML IN 4.5 LITERS OF WATER.
INFORMATION REGARDING SEED RATE OF RICE CROP?,I TOLD THE KISAN SEED RATE OF RICE CROP:-8-10 KG PER ACRE.
GUAVA BORER PROBLEM?,SPRAY SUMICIDIN 1 ML IN 1 LITRE OF WATER.
WHAT IS THE YIELD OF BASMATIS NEW VARIETIES?,THE YIELD OF BASMATIS NEW VARIETIES IS AVERAGE 16 Q PER ACRE.
INFORMATION REGARDING TO THE SOWING TIME OF SUMMER MOONG,THE SOWING TIME OF SUMMER MOONG -: MARCH 20 TO APRIL 10.
WHICH IS THE NEW VARIETY OF AMERICAN COTTON?,THE NEW VARIETY OF AMERICAN COTTON IS NCS 855 BG II.
INFORMATION REGARDING VARIETIES OF RICE CROP ?,"VARIETIES OF RICE: PR-121 AND PR-122, PR-118,PR-116,PR-114,PR-111,PR-115,PR-113."
control of leaf borer in radish?,150g of carbaryl in 60lit water per acre
information regarding catterpiller in barseem?,spray of 60 ml alfamethrin with 100 ltr water
INFORMATION REGARDING IMPROVED VARIETIES OF BASMATI RICE ?,"PUNJAB BASMATI-3 AND PUSA PUNAJB-1509, PUNJAB MEHAK-1,PUSA BASMATI -1121,BASMATI-370,PUSA BASMATI NO -1"
information regarding new varieties of paddy ?,"New varieties of paddy -PR-121 , PR-122 , PUSA PUNJAB BASMATI-1509 , PUNJAB BASMATI -3"
WHAT IS THE DURATION OF GARLIC?,THE DURATION OF GARLIC IS 165 TO 170 DAYS .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,"THE SUITABLE VARIETIES OF COTTON(NARMA) IS -NCS 855 BG-II,ANKUR-3028 BG-II,MRC-7017 BG II & MRC-7031 BG II."
information regarding new varieties of paddy ?,"New varieties of paddy -PR-121 , PR-122 , PUSA PUNJAB BASMATI-1509 , PUNJAB BASMATI -"
how to control of weed of sugarcane ?,"&#2616;&#2613;&#2622;&#2610;-&#2581;&#2606;&#2622;&#2598; &#2598;&#2631; &#2613;&#2623;&#2673;&#2586; &#2600;&#2598;&#2624;&#2600;&#2622;&#2562; &#2598;&#2624; &#2608;&#2635;&#2581;&#2597;&#2622;&#2606; &#2604;&#2622;&#2608;&#2631; &#2588;&#2622;&#2595;&#2581;&#2622;&#2608;&#2624; ?          &#2588;&#2613;&#2622;&#2604;-&#2581;&#2606;&#2622;&#2598; &#2598;&#2631; &#2613;&#2623;&#2673;&#2586; &#2600;&#2598;&#2624;&#2600;&#2622;&#2562; &#2598;&#2624; &#2608;&#2635;&#2581;&#2597;&#2622;&#2606; &#2610;&#2568; -800 &#2583;&#2637;&#2608;&#2622;&#2606; &#2565;&#2591;&#2637;&#2608;&#2588;&#2623;&#2600; +100 &#2583;&#2637;&#2608;&#2622;&#2606; &#2616;&#2632;&#2562;&#2581;&#2635;&#2608;+400 &#2583;&#2637;&#2608;&#2622;&#2606; 2,4-&#2593;&#2623; 58 % &#2600;&#2626;&#2672; 200 &#2610;&#2624;&#2591;&#2608; &#2602;&#2622;&#2595;&#2624; &#2598;&#2631; &#2613;&#2623;&#2673;&#2586; &#2606;&#2610;&#2622; &#2581;&#2631; &#2616;&#2602;&#2637;&#2608;&#2631; &#2581;&#2608;&#2635; &#2404;"
weather of amritsar ?,"Some drizzle, heaviest during Sun night"
INFORMATION REGARDING THE SOWING TIME OF RICE IN PUNJAB.?,THE SOWING TIME OF RICE IN PUNJAB IS STARTING FROM 1st OF MAY.
HOW MANY IRRIGATIONS  DO MOONG NEED?,MOONG NEED 3 TO 5 IRRIGATIONS
WHAT IS THE YIELD OF  PR 122?,THE YIELD OF  PR 122 IS 31.5 Q PER ACRE.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BLACK GRAM(MAH)?,"THE SUITABLE VARIETIES OF BLACK GRAM(MAH)-MAH-114,MAH-338."
for control of bhahbu kutta in barseem?,spray coragen 60 ml+ 200 lt water/acre
varieties of summer moong?,"SML832,SML668"
varieties of paddy ?,"pr-121 pr-122 , hkr -47"
improved varieties paddy ?,"pr-121 ,pr-122  ,pr-114 ,pr-116"
CONTROL OF DOWNY MILDEW IN THE ONION ?,SPRAY OF INDOFIL M-45 @ 600 GM IN THE 200 LITRES OF WATER/ACRE.
WHAT IS THE YIELD OF PR 121?,THE YIELD OF PR 121 IS 30.5 QUINTALS PER ACRE.
information regardingh to seed treatment of sugarcane?,bavistin 2g?1liter of water
information regarding to controll of caterpiller in black gram?,corogen 60ml in 200liter of water/acre
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF GREEN GRAM(MOONGI)?
WHAT ARE THE NEW VARIETIES OF RICE?,PR 121 AND PR 122  ARE THE NEW VARIETIES OF RICE
WHAT IS THE TIME OF PLANTING OF NURSERY?,THE TIME OF PLANTING OF NURSERY IS FROM 1 MAY.
information regarding chance of rainfall today?,10% chance of rainfall today.
CONTACT NUMBER OF DAIRY  IN AMRITSAR?,PROVIDED THE NUMBER 0183-2263083
INFORMATION REGARDING TO CONTROLL OF FRUIT BORER IN TOMATO CROP?,SUMICIDINE 20EC 100ML IN 100 LITER OF WATER
dropping of flowers?,SPRY PLANOFIX 1 ML IN 4.5 LITES OF WATER .
INFORMATION CHANCE OF RAINFALL TODAY?,10% CHANCE OF RAINFALL TODAY.
how are weather today?,chance of rain
"INFORMATION REGARDING THE CONTAC NO. OF PAU, LUDHIANA.?","CONTAC NO. OF PAU, LUDHIANA IS 0161-2401960."
information regarding to control of fruit borer in brinjal,spray of fenwelrate 20 e.c. 100 m.l.+100-125 ltr water /acre in brinjal
information regarding to contrrol of bihar hairy catterpiller in mungbean,spray of dichlorovos 200 m.l.+80-100 ltr water ./acre in mungbean
INFORMATION REGARDING THE  CONTROL OF BIHARI CATERPILLAR IN BARSEEM.?,SPRAY ROGOR (Dimethoate 30%)@ 200 ML IN 100 LT OF WATER PER ACRE.
information regarding to seed treatment in cotton,0.5 gm amisan-6+0.25 gm satreptocycline /ltr water /kg seeed for control of fungus
NEW VARITY OF RICE?,PR 121 AND PR 122.
INFORMATION REGARDING THE CONTACT NO. OF VERKA MILK PLANT,Milk Plant Verka Amritsar. Ph- 0183 ? 2264450/ 2263072
WHAT IS THE SOWING TIME OF VAEGETABLES?,THE SOWING TIME OF VAEGETABLES IS FEBRUARY TO MARCH AND JUNE JULY
flower droping in moong?,spray m-45 500gm in 200 liters water for the control of flower droping in moong.
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,10% CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER OF AMRITSAR?,TODAY IS NO CHANCE OF RAIN.
information regarding to varieties of kharif  maize,"p.m.h.-1, p.m.h.-2.,prabhat - varieties of kharif maize"
IF THERE ARE ANY CHANCES OF RAINFALL  IN UPCOMING DAYS. .?,THERE ARE NO CHANCES OF RAIN IN UPCOMING DAYS.
information regarding to new variety?,"pr 121, pr 122 pusa 1509"
what are the new varieties of rice?,the new varieties of rice are pr 121 and pr 122.
WHAT IS THE DATE OF NURSERY PLANTING OF RICE?,THE DATE OF NURSERY PLANTING OF RICE IS FROM 1 MAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUGARCANE ?,"SUITABLE VARIETIES OF SUGARCANE -EARLY-COJ-85,COJ-83,COJ-64, MEDIUM-COH-119,COJ-88,COJ-238,COJ-239,COH-8436,LATE-COJ-89."
which are the varieties of rice?,"they are pr 111,,113,114,,118,,121 and 122"
info,INFORMATION REGARDING THE LATESTVARIETIES OF BASMATI RICE ?
INFORMATION REGARDING FOR THE CONTROL OF POWDRY MILDEW DISEASE IN WATERMELON CROP?,"FOR THE CONTROL OF POWDRY MILDEW DISEASE IN WATERMELON CROP,PLS SPRAY KARATHANE(DINOCAPLONILE 75%WP)-150 GM/ACRE IN 150 LITRE WATER."
information regarding to suitable varieties of rice,"P.r.-121-P.r.-122, P.r.-118, P.r.-116,P.r.-114,P.r.-111,P.r.-115- varieties of rice"
new varieties of paddy?,"PR121,PR122."
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,"Some drizzle, heaviest during Thu morning. Warm (max 35掳C on Wed afternoon, min 25掳C on Tue night). Wind will be generally light."
information regarding improved varieties of rice?,"i told the kisan improved varieties of rice:-pr-122,pr-121,pr-118."
ANIMAL HUSBANDRY CONTAct no.?,0183-2536283.
INFORMATION REGARDING WEED CONTROL OF SURARCANE ?,ATRAZINE @ 800g PER ACRE IN 225LITRES OF WATER/ACRE.
WEATHER INFORMATION?,NO HEAVY CHANCES OF RAINFALL.
transplanting time of paddy nursery?,10 june transplanting time of paddy nursery.
ROTTING OF SUGARCANE DUE TO CATERPILLAR?,APPLY FURADON 10 KG PER ACRE.
information regarding to suitable varieties of turmeric,"punjab haldi-1, punjab haldi-2=varieties of turmeric"
new varieties of basmati rice?,"punjab basmati-3,pusa punjab-1509 new varieties of basmati rice."
what should be done to get high yield in bhindi?,SPRAY 0.52.34 N.P.K 1 KG IN 100 LITRES OF WATER PER ACRE.
problem of phillipine downy mildew in maize?,spray m-45 200gm in 100 liters water for the control of phillipine downy mildew in maize.
information regarding to spacing in turmeric,"line to line -30 cm ,,plant to plant -20 cm in turmeric"
INFORMATION REGARDING FOR THE FERTILIZER DOSE AT THE TIME OF SOWING OF GREEN GRAM(MOONGI) CROP?,"FERTILIZER DOSE AT THE TIME OF SOWING OF GREEN GRAM(MOONGI) CROP IS- FYM-200 Q.,DAP-40KG/ACRE."
INFORMATION REGARDING FOR THE SEED TREATMENT OF PADDY(JHONA)?,SOAK THE SELECTED SEED IN 10 LITRE OF WATER CONTIANING 5GM EMISAAN & 1 GRAM STREPTOCYCLINE FOR 8 TO 10  HOURS BEFORE SOWING.
problem of weeds in sugarcane?,spray 2-4d 58% 400ml in 225 liters water/acre for the control of weeds in sugarcane.
infromation regarding weather?,chance of light showers of rain in upcoming 48 hours.
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,CHANCE OF RAINFALL TODAY.
problem of caterpillar in popular?,spray monocil 36sl 250ml in 100 liters water for the control of caterpillar in popular.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,"THE SUITABLE VARIETIES OF COTTON(NARMA) IS -RCH-134Bt,RCH-317Bt,RCH-308Bt,MRC-6301,MRC-6304 & MRC-7031 BOLLGAURD-II(RUBI),ANKUR-651,ANKUR-09,ANKUR-2534."
control of catterpillar?,cyper methalin 250 ml in 120 lit water per acre
WEATHER OF AMRITSAR?,TODAY IS NO CHANCE OF RAIN.
INFORMATION REGARDING VARIETIES OF RICE CROP ?,"VARIETIES OF RICE: PR-121 AND PR-122, PR-118,PR-116,PR-114,PR-111,PR-115."
INFORMATION REGARDING CONTROL OF FRUIT BORER?,SPRAY CORAGEN @ 60 ML IN 150 LITERS OF WATER/ACRE.
information regarding to suitable varieties of pegion pea,"A.l-201,A.l.-15,P.a.u.-881-varieties of pigeon pea"
information regarding to fertilizer application  after transplanting rice,"110 kg urea,27 kg dap or75 kg ssp,20 kg potash /acre  in rice"
INFORMATION REGARDING TO NERSARY SOWING?,6 MARLE /8KG SEED
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,: LATEST VARIETIES OF RICE CROP PR-121 AND PR-122.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
information regarding to seed rate of rice for nursery raising,8 kg seed  for 6.5 marla for one acre seedling in rice
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
Information regarding the mid season variety of couliflower.?,Punjab Giant 26
information regarding to seed rate of rice for direct seeded rice,8-10 kg seed /acre in rice
control of  droping flower?,spray of palanofix 1ml in 4.50 lit water
INFORMATION REGARDING NEW VARIETIES OF BASMATI RICE?,"NEW VARIETIES OF BASMATI RICE PUSA PUNJAB BASMATI 3,PUSA PUNJAB BASMATI 1509."
INFORMATION REGARDING FOR THE CONTROL OF TOBBACO CATTERPILLER ATTACK AT DHAINCHA(JANTAR) CROP?,"FOR THE CONTROL OF TOBBACO CATTERPILLER ATTACK AT DHAINCHA(JANTAR) CROP,PLS SPRAY 250 ML NOVALURAN MIXED WITH 120 LITRE WATER /ACRE."
&#2616;&#2613;&#2622;&#2610;-&#2589;&#2635;&#2600;&#2631; &#2598;&#2624; &#2569;&#2600;&#2596; &#2581;&#2623;&#2616;&#2606;&#2622;&#2562; &#2604;&#2622;&#2608;&#2631; &#2588;&#2622;&#2595;&#2581;&#2622;&#2608;&#2624; ?,"&#2588;&#2613;&#2622;&#2604;-&#2589;&#2635;&#2600;&#2631; &#2598;&#2624; &#2600;&#2613;&#2624;&#2566;&#2562; &#2565;&#2596;&#2631; &#2569;&#2600;&#2596; &#2581;&#2623;&#2616;&#2606;&#2622;&#2562; &#2604;&#2622;&#2608;&#2631; -&#2602;&#2624; &#2566;&#2608;-121,&#2602;&#2624; &#2566;&#2608;-122,&#2602;&#2624; &#2566;&#2608; -118,&#2602;&#2624; &#2566;&#2608; -116,&#2602;&#2624; &#2566;&#2608; -114,&#2602;&#2624; &#2566;&#2608; -111,&#2602;&#2624; &#2566;&#2608; -115,&#2602;&#2624; &#2566;&#2608; -113,&#2602;&#2625;&#2616;&#2622; &#2602;&#2672;&#2588;&#2622;&#2604; &#2604;&#2622;&#2616;&#2606;&#2596;&#2624;-1509,&#2602;&#2625;&#2616;&#2622;-44,&#2576;&#2586;.&#2581;&#2631;.&#2566;&#2608;.-47 &#2404;"
IF THERE ARE ANY CHANCES OF RAINFALL  IN UPCOMING DAYS. .?,: THERE ARE NO CHANCES OF RAIN IN UPCOMING DAYS.
information regarding to seed treatment in  rice,soak the selected seed in 10 ltr water containing 5gm emisan6(methoxyethyl mercurychloride) &1gm streptocycline(streptocycline+tetracycline)
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,NO CHANCE OF RAINFALL TODAY
information regarding to suitable varieties of summer mungbean,"s.m.l.-668, s.m.l.-832 - varieties of summer mungbean"
information regarding to seed rate of kharif  maize,8 kg seed /acre for kharif maize
problem of sedges weeds in sugarcane?,spray 2-4d 58% 400ml in 225 liters water/acre for the control of weeds in sugarcane.
information regarding sowing time of bhindi?,sowing time of bhindi june-july.
INFORMATION REGARDING FOR THE SOWING TIME OF SQUASH MELON(TINDA)?,"THERE IS THE THREE SEASON OF SQUASH MELON(TINDA) SOWING-1.FEB.-MARCH,2.JUNE-JULY."
INFORMATION REGARDING TO CONTROLL OF BORER IN FODDER CROP?,Cypermethrin 25 EC
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,"Mostly dry. Warm (max 37掳C on Tue afternoon, min 26掳C on Sun night). Wind will be generally light."
information regarding to control of jassid in cucumber,spray of malathion 50 e.c. 250 m.l.+100 ltr water /acre in cucumber
SOWING TIME OF NURSERY IN PADDY?,SOWING TIME OF NURSERY IN PADDY:-1 MAY TO 30 MAY.
INFORMATION REGARDING FOR THE SOWING TIME OF BLACK GRAM(MAH)?,THE SOWING TIME OF BLACK GRAM(MAH)-UPTO 15 TO 25 JULY.
what is the date of transplanting of rice?,the date of transplanting of rice is from 10 june.
WHAT ARE THE NEW VARIETIES OF RICE?,THE NEW VARIETIES OF RICE ARE PR 121 AND PR 122.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"Sutable Variety of Paddy (Zona) -P-121, Par-122, Par-118, Par-114,-114, Par-111, Par-116,-116, Par-116,-115, Pus-113, Par-113, Pusa Punjab Basmati-13117111711117, Punjab Basmati-3."
seed rate of cotton?,"&#2616;&#2613;&#2622;&#2610;-&#2600;&#2608;&#2606;&#2631; &#2598;&#2624; &#2602;&#2637;&#2608;&#2596;&#2623; &#2575;&#2581;&#2652; &#2604;&#2624;&#2588; &#2598;&#2623; &#2606;&#2622;&#2596;&#2608;&#2622; &#2604;&#2622;&#2608;&#2631; &#2588;&#2622;&#2600;&#2581;&#2622;&#2608;&#2624; ?      &#2588;&#2613;&#2622;&#2604;-&#2600;&#2608;&#2606;&#2631; &#2598;&#2623; &#2602;&#2637;&#2608;&#2596;&#2624; &#2575;&#2581;&#2652; &#2604;&#2624;&#2588; &#2598;&#2623; &#2606;&#2622;&#2596;&#2608;&#2622; -&#2604;&#2623;&#2591;&#2623; &#2600;&#2608;&#2606;&#2622;-0.750 &#2581;&#2623;&#2610;&#2635;, &#2616;&#2599;&#2622;&#2608;&#2595; &#2581;&#2623;&#2616;&#2606;&#2622;&#2562;-3.0-3.5 &#2581;&#2623;&#2610;&#2635; &#2565;&#2596;&#2631; &#2604;&#2623;&#2600;&#2622; &#2604;&#2623;&#2591;&#2623; &#2598;&#2635;&#2583;&#2610;&#2568;&#2566;&#2562; &#2581;&#2623;&#2616;&#2606;&#2622;&#2562;- 1.5 &#2581;&#2623;&#2610;&#2635; &#2602;&#2637;&#2608;&#2596;&#2624; &#2575;&#2581;&#2652; &#2404;"
INFORAMTION REGARDING  FOR THE SEED RATE OF GREEN GRAM(MOONGI) PER ACRE?,THE SEED RATE OF GREEN GRAM(MOONGI) PER ACRE-8KG.
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -SOWING OF PADDY 1 MAY &NORMAL-10 JUNE .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUGARCANE ?,"Suitable varieties of Sugarcane -early-wear-85, DELIVERY-83, MED-348, LATE-238, LATE-59."
information regarding fertilizer dose in sugarcane ?,"urea-135kg,ssp-125kg,mop-40 kg/acre"
INFORMATION REGARDING VARIETIES OF RICE CROP ?,"Variety of Rice: -121 end at -122, -118, on -18, on -16, on -14, on -111, on -115."
information regarding to weed control in nursery of rice,butachlore 1200 m.l.+60 kg soil /acre 1 week after  broadcasting seeds
row to row distance in arum,45 *20 cm distance between rows
INFORMATION REGARDING TO WEATHER?,SOME CHANCES OF RAIN IN NEXT 24 HOURS
INFORMATION REGARDING FOR WEATHER,CHANCES OF RAIN ON TOMARROW IN AMRITSAR.
INFORMATION REGARDING FOR WEATHER,TOMARROW SOME CHANCES OF SHOWER IN AMRITSAR.
INFORMATION REGARDING WEATHER OF AMRITSAR?,CHANCES OF RAINFALL TOMORROW
INFORMATION REGARDING FOR THE CONTROL OF CATERPILAR IN TOMATO ?,SPRAY RIPCORD (10 EC) @ 200 ML IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING FOR WEATHER,CHANCES OF RAIN TOMATRROW IN AMRITSAR.
information regarding weather ?,chances of rainfall tomorrow
INFORMATION REGARDING TO WEATHER?,SOME CLOUDS AND NO CHANCES OF RAINFALL .
INFORMATION REGARDING FOR WEATHER,CHANCES OF RAIN TOMARROW IN AMRITSAR.
INFORMATION REGARDING fruit droping?,spray 1ml planofix in 4 ltr water.
information regarding about wether of amritsar?,"Cloudy, a t-storm in the p.m 2 aprail"
information regarding about wether of amritsar?,"Cloudy, a t-storm in the p.m. 2 apreil"
INFORMATION REGARDING  FOR THE WEATHER ?,THERE ARE SOME CHANCES OF RAINFALL IN TODAYS .
INFORMATION REGARDING WEATHER FORECAST,TODAY THERE ARE CHANCES OF RAIN
INFORMATION REGARDING WEATHER FORECAST  ?,WEATHER IS CLOUDY AND SOME CHANCE OF RAINFALL .
Information regarding weather of Amritsar?,Cloudy with a shower or thunderstorm around this afternoon
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN MAIZE?,spray 2-4D 400ml in 200 ltr water.
INFORMATION REGARDING TO WEATHER?,some chance of rainfall today .
INFORMATION REGARDING WEATHER OF AMRITSAR?,CHANCES OF RAINFALL TODAY
INFORMATION REGARDING TO WEATHER?,"INFORMATION REGARDING TO WEATHER?
SOME CHANCES OF RAIN IN NEXT 24 HOURS
some chance of rainfall today ."
fruit drop control in citrus,pls spray planofix 1ml in 4 litres of water for flower drop and for leaf curl pls spray rogar 500ml in 500ltrs of water /acre
HOW TO CONTROL FLOWER DROPING IN CITRUS PLANT ?,SPRAY TO PLANOFIX @ 4.5 LITER OF WATER / ACRE .
Information regarding weather of Amritsar?,"Mostly cloudy, chances of light rainfall."
flower drop in citrus and leaf curl disease in citrus,for flower drop pls spray planofix 1ml in 4 ltrs of water and for leaf curl pls spray rogar 500ml in 400ltrs of water/acre
INFORMATION REGARDING CONTROL OF YELLOW RUST IN WHEAT?,"SPRAY TILT ,(propiconazol) @ 200 ML IN 200 LITERS OF WATER/ACRE."
INFORMATION REGARDING WEATHER?,WEATHER IS CLOUDY AND THERE ARE SOME CHANCES OF RAIN .
information regarding weather ?,some clouds and  some  chances of rainfall.
INFORMATION REGARING WEATHER CONDITION ?,THE WEATHER CONDITION MOSTLY CLODY BUT  CHANCE OF LIGHT RAIN FALL.
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDIITON?,"A thunderstorm around this evening; otherwise, hazy"
INFORMATION REGARDING IMPROVED VARIETIES OF SUMMER MOONG ?,"IMPROVED VARIETIES OF SUMMER MOONG IS SML-668,SML-832 .PAU911."
Information regarding how to control Caterpilars in Barseem?,Spray 200 ml. Indoxacarb (Avaunt) in 100 lt. of water per acre.
information regarding control of aphid in chilies?,spray 80ml confidor in 100 litre of water/acre
information regarding control of aphid in wheat crop?,spray 80ml confidor in 100 litre of water/acre
information regarding leaf curl in grape?,spray bavestein 3gm/litre of water/plant
information regarding about wether of amritsar?,today no chance of rainfall
information regarding weather of amritsar?,chances of showers on 7 april
INFORMATION REGARDING CHANCE OF RAINFALL ?,NO CHANCE OF RAINFALL .
information regarding about new variety of paddy ?,"new varieties of paddy is PR123 , yield 29.5 quintls/acer"
weather of Amritsar ?,weather of Amritsar ?no chance rainfall in today.
information regarding control fungal diseases in tomato ?,spray 400gm M-45 in 200 Ltr of water /acre .
information regarding weather ?,some clouds and some chances of rainfall on 6April  .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SORGHUM(JWAR)?,"THE SUITABLE VARIETIES OF SORGHUM(JWAR)-TWO CUT-SL-44,MULTI CUT-PUNJAB SUDAX CHARI-1,HYBRID PCH-106,HYBRID PCH-109,HYBRID CHARI-615."
Information regarding varieties of Guara?,"hg-365, aget-112, guara-8"
INFORMATION REGARDING IMPROVED VARIETIES OF MAIZE ?,"IMPROVED VARIETIES OF MAIZE : PMH-1 , PMH-2, PMH-7 ."
Regarding varieties of paddy?,"Variety is and -111, at -111, on-111, 122, 123."
information regarding weather ?,some clouds and some chances of rainfall on 6 April.
Information regarding how to control fungal disease in Grape?,Spray 1 gm. Carbendazim in per lt. of water.
HOW TO CONTROL FLOWER DROPING IN CITRUS CROP ?,SPRAY TO PLANOFIX @ 1ML IN 4.5 LITER OF WATER / ACRE .
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
INFORMATION REGARDING late blight in tomato?,spray 600g m-45 in 200 ltr water.
CONTACT NO. FOR DAIRY FARMING ?,1612414042
INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF moong?,8kg/acre.
HOW TO CONTROL DEFOLIATING  BEETLES IN GRAPE ?,SPRAY TO CARBARYL @ 1GM IN 2 LITER OF WATER / SOLUTION .
VARIETY OF PADDY ?,"On 121, but 122, 123"
INFORMATION REGARDING FOR THE CONTROL OF SHOOT BORER IN MAIZE CROP?,"FOR THE CONTROL OF SHOOT BORER IN MAIZE CROP,PLS SPRAY-CYPERMETHRIN-250ML  OR CYPERMETHRIN-250ML OR CARTAP HYDROCHLORIDE(POWDER)-250GM IN 160LITRE WATER/ACRE."
INFORMATION REGARDING WEATHER CONDITION ?,TODAY IS NO CHANCE OF RAIN.
INFORMATION REGARDING TO WEATHER ?,TODAY THERE ARE  NO CHANCES OF RAIN TODAY .
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 250ML PROPICONAZOLE OR 200 ML TEBUCONAZOLE+200ML AZOXYSTROBIN(AMISTAR-SYNGENTA)/ACRE IN 200LITRE WATER."
INFORMATION REGARDING WEATHER FORECAST?,NO CHANCE TO RAINFALL NEXT 3 DAYS
Information regarding varieties of Paddy?,"Sutable Variety of Paddy (Zona) -P-121, on -122, on -123, on -18,-114, on -144, on -111, -116, on -16, -115, on -13, on -13, Pusa-44, Hakar-47, Pusa Punjab Basmati-1509, Punjab Basmati-3."
INFORMATION REGARDING FOR CONTROL OF FUNGUS IN BERSEEM ?,SPRAY RIDOMIL @ 500 GM IN 200 LITRE WATER/ACRE.
INFORMATION REGARDING WEATHER FORECAST  ?,WEATHER IS CLOUDY NO  CHANCE OF RAINFALL .
INFORMATION REGARDING FOR WEATHER ?,CHANCES OF SHOWERS ON 7 APRIL.
INFORMATION REGARDING TO WEATHER?,chances of rainfall 7 aprail
INFORMATION REGARDING FOR WEATHER ?,WEATHER REMAIN SOME CLOUDY AND CHANCES OF SHOWERS ON 7 APRIL IN AMRITSAR.
Information regarding weather of Amritsar?,"Partly sunny, no chance of rainfall."
INFORMATION REGARDING FOR WEATHER ?,TODAY NO CHANCES OF RAIN IN AMRITSAR.
INFORMATION REGARDING TO WEATHER?,CHANCES OF RAIN IN COMING DAYS
INFORMATION REGARDING FOR CONTROL OF CATERPILAR IN BERSEEM ?,SPRAY AUVANT @ 200 ML IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING WEATHER?,FEW CHANCES OF RAIN IN NEXT FEW DAYS
INFORMATION REGARDING FOR THE AVERAGE YIELD OF PUSA BASMATI 1509 ?,AVRAGE YIELD OF PUSA BASMATI IS 15.7 Q/ACRE.
which variety of sorghum we can grow,sl44 variety of sorghum we can grow
information regarding weather of amritsar?,chances of rainfall on 7 april
Information regarding how to control Yellow Rust in wheat?,Spray 200 ml. Tilt /Folicur in 200 lt. of water per acre.
information regarding weather?,some clouds and  some chances of rainfall on Sunday .
Information regarding how to control Yellow Vein Mosaic Virus in Bhindi?,Spray 560 ml. Malathion in 100-125 lt. of water per acre.
